_id,uid,title,detailUrl,address,phoneNumber,tags
5cd525072b653229002b60b0,a6a36284266c866915a190ec,西京医院办公楼,http://api.map.baidu.com/place/detail?uid=a6a36284266c866915a190ec&output=html&source=jsapi,陕西省西安市新城区长乐西路127号,null,null
5cd525072b653229002b60b1,e85e252738cfe34a95f08c2b,陕西省妇幼保健院,http://api.map.baidu.com/place/detail?uid=e85e252738cfe34a95f08c2b&output=html&source=jsapi,西安市新城区后宰门73号,null,"生活服务,便利店"
5cd525072b653229002b60b2,51864b1e28b319358c55ec47,西安医学院第一附属医院-2号楼,http://api.map.baidu.com/place/detail?uid=51864b1e28b319358c55ec47&output=html&source=jsapi,陕西省西安市莲湖区西安医学院第一附属医院南,null,"医疗,下属科室机构"
5cd525072b653229002b60b3,2cbfbebaf66237f72b11d1da,西安市交通大学第二附属医院观察室,http://api.map.baidu.com/place/detail?uid=2cbfbebaf66237f72b11d1da&output=html&source=jsapi,西五路157号,null,null
5cd525072b653229002b60b4,ab086b167ea13e8f9868b49e,第四五一医院腹腔镜医院,http://api.map.baidu.com/place/detail?uid=ab086b167ea13e8f9868b49e&output=html&source=jsapi,友谊东路269号,null,null
5cd525072b653229002b60b5,327818f1d9ad1c4487154157,西京医院-器材设备科,http://api.map.baidu.com/place/detail?uid=327818f1d9ad1c4487154157&output=html&source=jsapi,康复路附近,null,"医疗,下属科室机构"
5cd525072b653229002b60b6,495e9c08cb58800d471a326e,西安市红会医院设备科,http://api.map.baidu.com/place/detail?uid=495e9c08cb58800d471a326e&output=html&source=jsapi,陕西省西安市碑林区南稍门红十字会医院,null,null
5cd525072b653229002b60b7,bb3934b90cc470480189724b,西安未央正泰医院-B超检查室,http://api.map.baidu.com/place/detail?uid=bb3934b90cc470480189724b&output=html&source=jsapi,纬二十六街59号西安未央正泰医院2层,null,"医疗,下属科室机构"
5cd525072b653229002b60b8,2033f9f015ec15dca01de98d,西安交通大学第二附属医院新楼,http://api.map.baidu.com/place/detail?uid=2033f9f015ec15dca01de98d&output=html&source=jsapi,西五路157号,(029)87679323,"医疗,综合医院"
5cd525072b653229002b60b9,02f8c786f1c0e2a7077ce813,陕西省人民医院肾移植科病区,http://api.map.baidu.com/place/detail?uid=02f8c786f1c0e2a7077ce813&output=html&source=jsapi,西安市碑林区陕西人民医院南7楼3层,null,null
5cd525072b653229002b60ba,dd76e36ca8755a7dcf06a404,西安市第一医院-老年病科,http://api.map.baidu.com/place/detail?uid=dd76e36ca8755a7dcf06a404&output=html&source=jsapi,南大街粉巷30号,null,"医疗,下属科室机构"
